"logit_1_0";"X_INDEX";"Y_INDEX"
0;321500;4801500
0;566500;4363500
0;200500;4471500
0;185500;4774500
0;506500;4766500
0;729500;4274500
0;164500;4127500
0;173500;4217500
0;194500;4659500
0;184500;4798500
0;226500;4444500
0;169500;4810500
0;728500;4273500
0;565500;4785500
0;395500;4495500
0;180500;4714500
0;424500;4496500
0;207500;4757500
0;181500;4659500
0;453500;4796500
0;992500;4665500
0;251500;4288500
0;203500;4809500
0;170500;4717500
0;279500;4462500
0;159500;4125500
0;142500;4650500
0;439500;4796500
0;289500;4440500
0;204500;4810500
0;179500;4194500
0;273500;4831500
0;248500;4253500
0;185500;4415500
0;735500;4301500
0;204500;4668500
0;389500;4777500
0;188500;4495500
0;173500;4181500
0;178500;4216500
0;195500;4668500
0;214500;4797500
0;319500;4803500
0;221500;4799500
0;387500;4466500
0;245500;4778500
0;378500;4446500
0;486500;4711500
0;164500;4318500
0;301500;4794500
0;401500;4377500
0;328500;4801500
0;308500;4317500
0;474500;4180500
0;316500;4742500
0;133500;4162500
0;340500;4801500
0;164500;4458500
0;194500;4779500
0;236500;4727500
0;73500;4832500
0;261500;4826500
0;137500;4691500
0;449500;4413500
0;234500;4824500
0;206500;4785500
0;193500;4826500
0;195500;4779500
0;258500;4828500
0;490500;4794500
0;437500;4768500
0;197500;4660500
0;323500;4754500
0;406500;4284500
0;408500;4293500
0;169500;4395500
0;209500;4820500
0;236500;4798500
0;227500;4807500
0;456500;4782500
0;783500;4582500
0;583500;4763500
0;336500;4043500
0;420500;4790500
0;198500;4711500
0;208500;4694500
0;433500;4767500
0;174500;4669500
0;90500;4740500
0;201500;4818500
0;136500;4131500
0;930500;4601500
0;289500;4016500
0;306500;4794500
0;200500;4783500
0;635500;4763500
0;454500;4122500
0;449500;4180500
0;174500;4180500
0;254500;4803500
0;598500;4775500
0;239500;4027500
0;159500;4778500
0;817500;4669500
0;192500;4771500
0;438500;4761500
0;412500;4494500
0;311500;4051500
0;222500;4683500
0;252500;4174500
0;228500;4386500
0;841500;4705500
0;118500;4397500
0;356500;4466500
0;251500;4434500
0;286500;4780500
0;285500;4233500
0;332500;4800500
0;214500;4757500
0;440500;4800500
0;391500;4792500
0;256500;4817500
0;6500;4796500
0;273500;4811500
0;166500;4397500
0;231500;4572500
0;503500;4094500
0;180500;4449500
0;164500;4679500
0;590500;4793500
0;804500;4747500
0;201500;4667500
0;888500;4619500
0;451500;4644500
0;481500;4788500
0;175500;4233500
0;186500;4121500
0;320500;4810500
0;431500;4233500
0;567500;4788500
0;41500;4705500
0;306500;4075500
0;457500;4783500
0;163500;4126500
0;391500;4481500
0;183500;4774500
0;221500;4685500
0;335500;4216500
0;597500;4795500
0;250500;4791500
0;235500;4813500
0;314500;4396500
0;286500;4746500
0;416500;4728500
0;390500;4327500
0;202500;4158500
0;331500;4237500
0;316500;4816500
0;238500;4810500
0;322500;4797500
0;973500;4639500
0;370500;4231500
0;258500;4742500
0;142500;4283500
0;258500;4464500
0;330500;4474500
0;215500;4128500
0;177500;4691500
0;433500;4791500
0;515500;4788500
0;248500;4797500
0;184500;4770500
0;304500;4431500
0;315500;4798500
0;229500;4410500
0;328500;4790500
0;214500;4815500
0;726500;4424500
0;237500;4789500
0;812500;4704500
0;286500;4226500
0;290500;4800500
0;739500;4291500
0;430500;4517500
0;203500;4779500
0;502500;4765500
0;457500;4689500
0;211500;4469500
0;194500;4764500
0;212500;4738500
0;242500;4505500
